"ID","BROWSING_RIGHTS","ERROR_FLAG","CONTENT","TITLE","REGIST_MEMBER_ID"
"1","1","true","仮パスワードを発行しました。可及的速やかにパスワードを更新してください。

ID：daihyou

仮Password：HgctxAQd

あ、仮パスワードのまま使っているの見つけたら①号館から自由落下させます。あらかじめご了承ください。","仮パスワードが作成されました",
"2","1","true","仮パスワードを発行しました。可及的速やかにパスワードを更新してください。

ID：daihyou

仮Password：GJFvTqtk

あ、仮パスワードのまま使っているの見つけたら1号館から自由落下させます。あらかじめご了承ください。","仮パスワードが作成されました",
"3","1","true","仮パスワードを発行しました。可及的速やかにパスワードを更新してください。

ID：daihyou

仮Password：qtaqsbzi

あ、仮パスワードのまま使っているの見つけたら1号館から自由落下させます。あらかじめご了承ください。","仮パスワードが作成されました",
"4","1","true","仮パスワードを発行しました。可及的速やかにパスワードを更新してください。

ID：butyou

仮Password：FtvZHLJc

あ、仮パスワードのまま使っているの見つけたら1号館から自由落下させます。あらかじめご了承ください。","仮パスワードが作成されました",
"5","3","false","tesuto","tesuto","1"
"6","1","false","仮IDと仮パスワードが作成されたので連絡します。取り扱いには十分留意してください。
制作者：だいひょう

仮ID：tempMember
仮Password：XUEmDSQP

","仮IDと仮パスワードが作成されました",
"7","1","false","仮IDと仮パスワードが作成されたので連絡します。取り扱いには十分留意してください。
制作者：だいひょう

仮ID：tempMember2
仮Password：OqTJFOqv

","仮IDと仮パスワードが作成されました",
"8","1","true","仮パスワードを発行しました。可及的速やかにパスワードを更新してください。

ID：daihyou

仮Password：BeXWfFAo

あ、仮パスワードのまま使っているの見つけたら1号館から自由落下させます。あらかじめご了承ください。","仮パスワードが作成されました",
"9","1","false","仮IDと仮パスワードが作成されたので連絡します。取り扱いには十分留意してください。
制作者：だいひょう

仮ID：tempMember
仮Password：wXeoicPY

","仮IDと仮パスワードが作成されました",
"10","1","false","仮IDと仮パスワードが作成されたので連絡します。取り扱いには十分留意してください。
制作者：だいひょう

仮ID：tempMember2
仮Password：WHKClyil

","仮IDと仮パスワードが作成されました",
"11","1","false","仮IDと仮パスワードが作成されたので連絡します。取り扱いには十分留意してください。
制作者：だいひょう

仮ID：tempMember
仮Password：BsjWWZQb

","仮IDと仮パスワードが作成されました",
"12","1","true","仮IDと仮パスワードが作成されたので連絡します。取り扱いには十分留意してください。
制作者：ウェブかんり

仮ID：tempMember2
仮Password：lcSWbLRV

","仮IDと仮パスワードが作成されました",
"13","1","false","メンバーの新規仮登録がされましたのでお知らせします。
登録者：かりとうろく(仮登録メンバー)
OB宣言：(現役部員)(2014年入学)
連絡先：temp1@gmail.com

仮登録メンバーは、管理者が承認して有効になります。今しばらくお待ちください。承認時にメールでお知らせします。","メンバーの仮登録がされました",
"14","1","false","メンバーの登録が完了されましたのでお知らせします。
登録者：かりとうろく(仮登録メンバー)

仮登録メンバーは、管理者が承認して有効になります。今しばらくお待ちください。承認時にメールでお知らせします。","メンバーの仮登録がされました",
"15","1","true","仮パスワードを発行しました。可及的速やかにパスワードを更新してください。

ID：daihyou

仮Password：qDPeusSO

あ、仮パスワードのまま使っているの見つけたら1号館から自由落下させます。あらかじめご了承ください。","仮パスワードが作成されました",
"16","1","true","仮IDと仮パスワードが作成されたので連絡します。取り扱いには十分留意してください。
制作者：だいひょう

仮ID：tempMember
仮Password：QoQIxupJ

","仮IDと仮パスワードが作成されました",
"17","1","true","仮パスワードを発行しました。可及的速やかにパスワードを更新してください。

ID：butyou

仮Password：AIJpaVMT

あ、仮パスワードのまま使っているの見つけたら1号館から自由落下させます。あらかじめご了承ください。","仮パスワードが作成されました",
"18","3","true","設定された人数に出席者数が到達したのでお知らせします。

会議名：テスト会議1
設定人数：3

現在の出席者一覧：
ぶちょう
ウェブかんり
かりとうろく
","イベントに設定された人数に出席者数が到達したのでお知らせします！！",
"19","3","true","設定された人数に出席者数が到達したのでお知らせします。

会議名：テスト会議1
設定人数：3

現在の出席者一覧：
だいひょう
ぶちょう
かりとうろく
","イベントに設定された人数に出席者数が到達したのでお知らせします！！",
"20","3","true","設定された人数に出席者数が到達したのでお知らせします。

会議名：テスト会議1
設定人数：3

現在の出席者一覧：
だいひょう
ぶちょう
かりとうろく
","イベントに設定された人数に出席者数が到達したのでお知らせします！！",
"21","3","true","設定された人数に出席者数が到達したのでお知らせします。

会議名：テスト会議2
設定人数：3

現在の出席者一覧：
だいひょう
ぶちょう
ぶちょう2
","イベントに設定された人数に出席者数が到達したのでお知らせします！！",
"22","3","true","設定された人数に出席者数が到達したのでお知らせします。

会議名：テスト会議3
設定人数：3

現在の出席者一覧：
だいひょう
かりとうろく
ぶちょう2
","イベントに設定された人数に出席者数が到達したのでお知らせします！！",
"23","3","false","送信","テスト送信","1"
"24","3","true","てすと","送信テスト",
"25","3","true","送信テスト0906","送信テスト0906",
"26","3","false","送信0116","送信0116","1"
"27","3","false","設定された人数に出席者数が到達したのでお知らせします。

会議名：テスト会議3
設定人数：3

現在の出席者一覧：
だいひょう
かりとうろく
ぶちょう2
","イベントに設定された人数に出席者数が到達したのでお知らせします！！",
"28","3","false","設定された人数に出席者数が到達したのでお知らせします。

会議名：テスト会議4
設定人数：3

現在の出席者一覧：
だいひょう
ぶちょう
ウェブかんり
","イベントに設定された人数に出席者数が到達したのでお知らせします！！",
