"ID","NAME","HNAME","SEX","MAIL","CURRICULUM","ENTRANCE","TEL1","TEL2","TEL3","USER_NAME","PASSWORD","OB_FLAG"
"1","山田太郎","しゅん","男","oowada","物理学科","2011","80","80","80","id","pass","false"
"2","佐藤花子","さてぅー","男","naminami","物理","2011","80","80","80","男","1123","false"
"3","木村愛里","あいり","男","oowada","物理学科","2011","8","0","90","dada","dada","false"
"4","中本有実","ありみ","男","oowada","物理学科","2011","8","0","90","dada","dada","false"
"5","根本学","ねもじ","男","saitou","物理学科","2011","80","80","80","marimo","112233","false"
"6","古賀菜摘","こがさん","女","natsumi","医学科","2009","80","800","800","natsumi","zzzzzz","false"
"7","前田孝宏","まえっち","男","maeda","情報","2009","90","900","900","maeda","maeda","false"
"8","小林忠次","ばりこ","男","marimomarimo@marimo.com","物理学科","2011","80","800","800","marimomarimo","marimoamrimo","false"
"9","増田明美","げるぐぐ","男","capriccioso.and.grandioso@gmail.com","物理学科","2011","2434724","2434724","2434724","dada","112233","false"
"10","三ツ矢哲郎","みっちー","男","maeda@gmail.com","情報学科","2009","080","0080","0012","maeda","maeda","false"
"11","野沢拓也","のざぺん","男","test@test.co.jp","情報","2009","090","0900","0012","yuutp","maeda","false"
"12","飯坂毛糸","ざかっちょ","男","maeda@gmail.com","情報","2009","","","","test","maeda","false"
"13","大和田裕章","だわちん","男","capriccioso.and.grandioso@gmail.com","物理学科","2011","123","123","123","aaaa","112233","false"
"14","松本光","まつもっちゃん","1","capriccioso.and.grandioso@gmail.com","物理学科","2011","029","3325","5563","ID","PASSWORD","false"
