"ID","NAME","HNAME","SEX","MAIL","CURRICULUM","ENTRANCE","TEL1","TEL2","TEL3","USER_NAME","PASSWORD","OB_FLAG","DELETE_FLAG"
"1","山田太郎","maturi","1","kayano122@gmail.com","物理学科","2011","080","1246","6735","admin1","zzzzz","false",
"2","佐藤花子","ミシン","2","miuranomailaddress@gmail.com","物理","2011","080","9989","7787","admin2","zzzzz","false",
"3","木村愛里","kintoki","1","daradarakintoki@gmail.com","物理学科","2011","090","8878","6646","admin3","zzzzz","false",
"4","中本有実","ありみ","1","capriccioso.and.grandioso@gmail.com","物理学科","2011","029","8864","3459","admin4","zzzzz","false",
"5","根本学","ねもじ","1","capriccioso.and.grandioso@gmail.com","物理学科","2011","068","5728","2571","admin5","zzzzz","false",
"6","古賀菜摘","こがさん","2","capriccioso.and.grandioso@gmail.com","医学科","2009","080","3472","2518","admin6","zzzzz","false",
"7","前田孝宏","まえっち","1","capriccioso.and.grandioso@gmail.com","情報","2009","029","7754","747","admin7","zzzzz","false",
"8","小林忠次","ばりこ","1","capriccioso.and.grandioso@gmail.com","物理学科","2011","080","4362","7257","admin8","zzzzz","false",
"9","増田明美","げるぐぐ","1","capriccioso.and.grandioso@gmail.com","物理学科","2011","090","7575","1245","admin9","zzzzz","false",
"10","三ツ矢哲郎","みっちー","1","capriccioso.and.grandioso@gmail.com","情報学科","2009","080","0080","0012","admin10","zzzzz","false",
"11","野沢拓也","のざぺん","1","capriccioso.and.grandioso@gmail.com","情報","2009","090","0900","0012","admin11","zzzzz","false",
"12","飯坂毛糸","ざかっちょ","1","themis.in.skyolympus@gmail.com","情報","2009","079","7648","6468","admin12","zzzzz","false",
"13","大和田裕章","だわちん","1","themis.in.skyolympus@gmail.com","物理学科","2011","123","7628","7382","admin13","zzzzz","false",
"14","松本光","まつもっちゃん","1","capriccioso.and.grandioso@gmail.com","物理学科","2011","029","3325","5563","admin14","zzzzz","false",
"15","大和田裕晃","だわちん","2","capriccioso.and.grandioso@gmail.com","物理学科","2011","080","0080","3748","admin15","zzzzzz","false",
"16","大森剛","大森ちゃん","2","capriccioso.and.grandioso@gmail.com","物理学科","2011","123","8478","7367","admin678","dada","false",
"17","オオワダ","しゅん","2","capriccioso.and.grandioso@gmail.com","物理学科","2011","080","5472","6358","admin11234","zzzzz","false",
"18","大森崇","変態","3","oomori@test.co.jp","物理学科","2011","090","8368","2681","oomori","oomori","false",
"19","小林","ダワ亭","2","capriccioso.and.grandioso@gmail.com","医学科","2011","","","","admin20","112233","true",
"20","増田くん","K.key","1","k.k-beat.529@docomo.ne.jp","科学化","2013","","","","admin21","zzzzz","false",
"22","大森咲","もみさん","2","damu.0196@gmail.com","栄養学科","2014","","","","admin16","zzzzz","false",
"23","藤田直哉","じっちょ","1","fujita@fujita.com","情報学科","2010","080","1234","5678","admin17","zzzzz","false",
